# Residuals   
# Time        	p_rgh         
0             	N/A
1             	5.847851e-01
2             	2.524565e-01
3             	1.546266e-01
4             	1.099859e-01
5             	8.639511e-02
6             	7.070208e-02
7             	6.006957e-02
8             	5.210261e-02
9             	4.616719e-02
10            	4.158205e-02
11            	3.834685e-02
12            	3.618326e-02
13            	3.478672e-02
14            	3.399270e-02
15            	3.380079e-02
16            	3.422352e-02
17            	3.516772e-02
18            	3.660657e-02
19            	3.858646e-02
20            	4.124891e-02
21            	4.488739e-02
22            	4.950427e-02
23            	5.510109e-02
24            	6.138536e-02
25            	6.787547e-02
26            	7.418367e-02
27            	7.991535e-02
28            	8.493706e-02
29            	8.896135e-02
30            	9.186729e-02
31            	9.391313e-02
32            	9.539300e-02
33            	9.723506e-02
34            	1.009931e-01
35            	1.052680e-01
36            	1.071708e-01
37            	1.054978e-01
38            	1.004363e-01
39            	9.213389e-02
40            	8.132832e-02
41            	6.980922e-02
42            	5.812876e-02
43            	4.707279e-02
44            	3.721509e-02
45            	2.896008e-02
46            	2.233895e-02
47            	1.745014e-02
48            	1.390026e-02
49            	1.148880e-02
50            	9.957959e-03
51            	8.973389e-03
52            	8.359542e-03
53            	7.907681e-03
54            	7.517018e-03
55            	7.131843e-03
56            	6.710227e-03
57            	6.256878e-03
58            	5.801888e-03
59            	5.352636e-03
60            	4.924204e-03
61            	4.552713e-03
62            	4.248200e-03
63            	3.993398e-03
