# Residuals   
# Time        	p_rgh         
0             	N/A
1             	5.847851e-01
2             	2.524565e-01
3             	1.546266e-01
4             	1.099859e-01
5             	8.639511e-02
6             	7.070208e-02
7             	6.006957e-02
8             	5.210261e-02
9             	4.616719e-02
10            	4.158205e-02
11            	3.834685e-02
12            	3.618326e-02
13            	3.478672e-02
14            	3.399270e-02
15            	3.380079e-02
16            	3.422352e-02
17            	3.516772e-02
18            	3.660657e-02
19            	3.858646e-02
20            	4.124891e-02
21            	4.488739e-02
22            	4.950427e-02
23            	5.510109e-02
24            	6.138536e-02
25            	6.787547e-02
26            	7.418367e-02
27            	7.991535e-02
28            	8.493706e-02
29            	8.896135e-02
30            	9.186729e-02
31            	9.391313e-02
32            	9.539300e-02
33            	9.723506e-02
34            	1.009931e-01
35            	1.052680e-01
36            	1.071708e-01
37            	1.054978e-01
38            	1.004363e-01
39            	9.213389e-02
40            	8.132832e-02
41            	6.980922e-02
42            	5.812876e-02
43            	4.707279e-02
44            	3.721509e-02
45            	2.896008e-02
46            	2.233895e-02
47            	1.745014e-02
48            	1.390026e-02
49            	1.148880e-02
50            	9.957959e-03
51            	8.973389e-03
52            	8.359542e-03
53            	7.907681e-03
54            	7.517018e-03
55            	7.131843e-03
56            	6.710227e-03
57            	6.256878e-03
58            	5.801888e-03
59            	5.352636e-03
60            	4.924204e-03
61            	4.552713e-03
62            	4.248200e-03
63            	3.993398e-03
64            	3.791749e-03
65            	3.634621e-03
66            	3.501904e-03
67            	3.409852e-03
68            	3.348698e-03
69            	3.295764e-03
70            	3.258994e-03
71            	3.231797e-03
72            	3.205594e-03
73            	3.190547e-03
74            	3.185847e-03
75            	3.171905e-03
76            	3.172217e-03
77            	3.171485e-03
78            	3.165274e-03
79            	3.161571e-03
80            	3.156374e-03
81            	3.158649e-03
82            	3.162585e-03
83            	3.153003e-03
84            	3.153305e-03
85            	3.148174e-03
86            	3.143939e-03
87            	3.145614e-03
88            	3.157719e-03
89            	3.159516e-03
90            	3.158310e-03
91            	3.156082e-03
92            	3.148055e-03
93            	3.167328e-03
94            	3.158234e-03
95            	3.160173e-03
96            	3.152728e-03
97            	3.173269e-03
98            	3.179534e-03
99            	3.186077e-03
100           	3.201376e-03
101           	3.197089e-03
102           	3.184144e-03
103           	3.189832e-03
104           	3.217803e-03
105           	3.199673e-03
106           	3.218039e-03
107           	3.215062e-03
108           	3.229212e-03
109           	3.210640e-03
110           	3.208868e-03
111           	3.269736e-03
112           	3.308502e-03
113           	3.342392e-03
114           	3.365907e-03
115           	3.327301e-03
116           	3.378848e-03
117           	3.381141e-03
118           	3.355360e-03
119           	3.362762e-03
120           	3.346742e-03
121           	3.361829e-03
122           	3.393659e-03
123           	3.375248e-03
124           	3.415277e-03
125           	3.381469e-03
126           	3.401593e-03
127           	3.415110e-03
128           	3.436559e-03
129           	3.443816e-03
130           	3.481780e-03
131           	3.515396e-03
132           	3.547079e-03
133           	3.585545e-03
134           	3.672800e-03
135           	3.762352e-03
136           	3.828339e-03
137           	3.896664e-03
138           	3.989884e-03
139           	4.076634e-03
140           	4.153053e-03
141           	4.261968e-03
142           	4.369887e-03
143           	4.480391e-03
144           	4.602121e-03
145           	4.700337e-03
146           	4.824819e-03
147           	4.969971e-03
148           	5.117549e-03
149           	5.286356e-03
150           	5.419287e-03
151           	5.562625e-03
152           	5.721748e-03
153           	5.875574e-03
154           	6.032154e-03
155           	6.184844e-03
156           	6.314724e-03
157           	6.487086e-03
158           	6.634082e-03
159           	6.803863e-03
160           	6.941467e-03
161           	7.128986e-03
162           	7.287153e-03
163           	7.463812e-03
164           	7.618053e-03
165           	7.816895e-03
166           	8.000914e-03
167           	8.173790e-03
168           	8.379033e-03
169           	8.586757e-03
170           	8.759638e-03
171           	9.020964e-03
172           	9.202496e-03
173           	9.435846e-03
174           	9.658078e-03
175           	9.870233e-03
176           	1.010730e-02
177           	1.033529e-02
178           	1.052510e-02
179           	1.076149e-02
180           	1.094249e-02
181           	1.114607e-02
182           	1.131902e-02
183           	1.146490e-02
184           	1.159310e-02
185           	1.170666e-02
186           	1.175526e-02
187           	1.173160e-02
188           	1.176272e-02
189           	1.179705e-02
190           	1.185340e-02
191           	1.193199e-02
192           	1.202172e-02
193           	1.208597e-02
194           	1.213956e-02
195           	1.211242e-02
196           	1.211995e-02
197           	1.199865e-02
198           	1.193867e-02
199           	1.179500e-02
200           	1.161232e-02
